t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,5.082741220832279749e-01,6.592997858542325451e-01,3.709892374548565130e-01,2.699493204371988586e+00,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,6.597660634620813314e-01,5.393419040804814379e-01,7.729372879426117393e-01,2.464729443058725877e+00,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,7.390537900904814439e-01,3.965200550549735081e-01,1.103371459225932494e+00,2.665962138977347351e+00,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,5.645114612959293288e-01,3.775623806637944946e-01,1.516506002646990980e+00,2.307216988523774770e+00,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,4.486075537765475407e-01,2.379699353189757838e-01,1.881736047305729631e+00,2.345075877778238116e+00,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,4.407785466973073163e-01,4.856487602109067075e-02,2.272025228036837152e+00,2.423487881127953880e+00,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,5.613015055376447959e-01,1.422732126524196561e-01,2.648835132177009388e+00,2.469445886618382158e+00,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,8.272866325654242292e-01,1.511318719191351856e-01,2.993657777572411138e+00,2.473907635139331429e+00,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,7.085980070006346887e-01,3.609360598520823804e-01,3.373015747341620685e+00,2.478017024215255049e+00,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,6.419378605156003115e-01,3.426502547864904158e-01,3.747732784139433893e+00,2.732543259849174788e+00,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,3.804486216315894342e-01,5.439998463265719453e-01,4.139548980977449943e+00,2.686757153991455205e+00,2.000000000000000000e+00
