t,x,y,z,xh,yh,zh,fieldVal,fidLev
5.099999999999997868e+00,4.658140492621199447e-01,7.229462559519200804e-01,3.647997985406210564e-01,4.254172670913760057e-01,8.536954730952402981e-01,3.984439108220324544e-01,2.201898268587598184e-01,1.000000000000000000e+00
1.019999999999997975e+01,6.439211828480305710e-01,5.504063774777303575e-01,7.763129763085789836e-01,4.195829790068852927e-01,8.459974922613193726e-01,7.687673902642074841e-01,2.385811614837858863e-01,1.000000000000000000e+00
1.529999999999996163e+01,6.990039905148165422e-01,4.162386034046589578e-01,1.112852375435658292e+00,7.344137227812788105e-01,5.670569852104609954e-01,1.132886860747658764e+00,2.394366367376772886e-01,2.000000000000000000e+00
2.030000000000001847e+01,5.372566029158191148e-01,3.865101408056537124e-01,1.503409264407964852e+00,6.056205947924436783e-01,5.068124712195025694e-01,1.515649135827255689e+00,1.227156423032207400e-01,2.000000000000000000e+00
2.530000000000008953e+01,4.798902269951514921e-01,2.579280887844044301e-01,1.863040999563388311e+00,2.197099783957075225e-01,4.748323267266377212e-01,1.840970403909327535e+00,2.266266389878165977e-01,2.000000000000000000e+00
3.030000000000016058e+01,3.959506760063966069e-01,9.831426966752358776e-02,2.275445635003961797e+00,1.826938594602372790e-01,1.563081367941819566e-01,2.273539577709855486e+00,4.045516908025007519e-01,2.000000000000000000e+00
3.530000000000023164e+01,5.908365869522862468e-01,1.730865847593963114e-01,2.666304758247389994e+00,7.084480215175004147e-02,9.587069560760660969e-02,2.643102611443838512e+00,9.158979985137274960e-02,2.000000000000000000e+00
4.030000000000030269e+01,7.915194132968302876e-01,2.570013344006630285e-01,2.973338777426744350e+00,1.663717267733539340e-01,6.888715558148350571e-02,2.985507300474088854e+00,2.433836006617626779e-01,2.000000000000000000e+00
4.530000000000037375e+01,6.789981538096355740e-01,3.990145600035492901e-01,3.391430628811718417e+00,1.641040569959307249e-01,5.606741364255293236e-01,3.398005578020359518e+00,3.646931670706441975e-01,2.000000000000000000e+00
5.030000000000044480e+01,5.953204583473189482e-01,3.733851659793001598e-01,3.786272590350351130e+00,-6.252028705725751201e-02,6.060976054167045435e-01,3.805853717942518699e+00,1.462996923098270896e-01,2.000000000000000000e+00
5.530000000000051585e+01,3.326189307597235412e-01,5.780512838648079743e-01,4.141807431443798926e+00,-9.290193631095128302e-02,7.697664876283725199e-01,4.150123116798233980e+00,1.405593022022006144e-01,2.000000000000000000e+00
6.030000000000058691e+01,1.523912817178399437e-01,4.862003611920936996e-01,4.475962768315692841e+00,-2.910824120610801535e-01,5.015324730559594935e-01,4.453882386389219405e+00,1.000046479014959355e-01,2.000000000000000000e+00
6.540000000000055991e+01,1.953785666272187527e-01,2.683381173086750726e-01,4.856759813938900550e+00,-2.914704736018680076e-01,3.820058909130295000e-01,4.854336353342942445e+00,7.914635860436351755e-02,2.000000000000000000e+00
7.050000000000027001e+01,2.215798309451796344e-01,1.991926239332147686e-01,5.249170419409317390e+00,-2.410946820994984696e-01,4.746095052984951046e-01,5.262144985817997167e+00,1.465516657339693551e-01,2.000000000000000000e+00
7.559999999999998010e+01,2.685416096699244637e-01,1.421247424058045272e-01,5.683256823302491156e+00,-1.146026646713069752e-01,5.204948259002912803e-01,5.683578189573204931e+00,1.908342008749848717e-01,2.000000000000000000e+00
8.069999999999969020e+01,8.546401477516349932e-01,1.188046443221998788e-01,6.020868544869273364e+00,5.112418997336959370e-01,7.125048788125633026e-01,6.031322001129040267e+00,1.672890309717130763e-01,3.000000000000000000e+00
8.579999999999940030e+01,8.500987316611057221e-01,-2.771912366806510500e-02,6.362040961185237542e+00,5.090315108020979640e-01,5.762524586349965228e-01,6.383347537729450849e+00,9.628904852920988633e-02,3.000000000000000000e+00
9.089999999999911040e+01,7.488569993716152062e-01,2.258394169130242268e-01,6.766094859879547840e+00,4.432482258797258989e-01,6.471545208247040382e-01,6.757519675043532459e+00,2.690759939068866347e-01,3.000000000000000000e+00
9.599999999999882050e+01,8.699768963706808744e-01,6.559947711364029210e-01,7.164633382763919478e+00,4.294263990937588482e-01,9.981407136784972156e-01,7.160712061385927640e+00,2.733776198475622587e-01,3.000000000000000000e+00
1.010999999999985306e+02,1.078921906755032190e+00,1.003880666889820805e+00,7.626696651652111747e+00,6.883154668856019676e-01,1.232570656914648621e+00,7.627707770299309686e+00,3.015750315428575856e-01,3.000000000000000000e+00
1.061999999999982407e+02,1.027755549342600050e+00,1.135364828688695482e+00,7.944849000183364929e+00,7.695203633552896161e-01,1.515409812296850012e+00,7.939985005942858720e+00,1.921198427805853315e-01,3.000000000000000000e+00
1.112999999999979508e+02,1.084848914177170665e+00,1.145313144815408801e+00,8.330831723705463432e+00,7.483464265737610477e-01,1.538214873670026739e+00,8.300189277714762781e+00,3.216607280056724694e-01,3.000000000000000000e+00
1.163999999999976609e+02,1.013318236663254934e+00,1.027328023844871208e+00,8.737617708026002461e+00,6.183126255457909171e-01,1.321239003582694860e+00,8.744047106054713581e+00,7.498888919834148514e-02,3.000000000000000000e+00
1.214999999999973710e+02,9.206487064508037665e-01,9.525069414314943916e-01,9.095185817940247830e+00,4.438489724943218695e-01,1.265182916364262278e+00,9.099063565233921125e+00,2.831688428675950275e-01,3.000000000000000000e+00
1.265999999999970811e+02,9.550292293976705427e-01,9.362919512264734623e-01,9.501020549506838719e+00,3.904852739381525772e-01,1.255924508916544946e+00,9.496561257825479885e+00,8.538571498142469296e-02,3.000000000000000000e+00
1.316999999999968054e+02,1.090270987347568665e+00,9.747343545831441691e-01,9.691366702324572202e+00,4.429507194668554360e-01,1.387894086638098656e+00,9.670966185470390997e+00,2.196625471191459011e-01,3.000000000000000000e+00
1.367999999999965155e+02,1.374866907288473827e+00,1.256653054226210875e+00,9.314416728816564017e+00,7.888173454838668386e-01,1.698940621894595937e+00,9.321876795506318203e+00,4.002797692390058226e-01,3.000000000000000000e+00
1.418999999999962256e+02,1.579586355983330970e+00,1.428900358765176959e+00,8.956632543298983506e+00,7.606830802454811469e-01,1.828764333906352402e+00,8.939019553294745180e+00,2.273559262107317513e-01,3.000000000000000000e+00
1.469999999999959357e+02,1.766204730496131914e+00,1.744275760612951087e+00,8.542240265627693674e+00,1.024408195177123115e+00,2.348611799796387789e+00,8.565270225598659692e+00,2.896805875127945185e-01,3.000000000000000000e+00
1.520999999999956458e+02,1.990638405466626182e+00,2.475311156702561632e+00,8.221430644247776698e+00,1.175140408109999202e+00,3.085004017607223759e+00,8.216023933698737736e+00,4.602307793438275563e-01,3.000000000000000000e+00
1.571999999999953559e+02,1.888283729640946040e+00,2.980283330820345356e+00,7.794863775853774435e+00,1.058944917418578990e+00,3.287301041081843067e+00,7.774534703416496662e+00,6.983161144137285392e-01,3.000000000000000000e+00
1.622999999999950660e+02,2.066957319518821112e+00,3.052449639880431942e+00,7.427679195323117156e+00,1.188172050911261879e+00,3.316447101707709955e+00,7.414870503286782544e+00,5.122802728760929014e-01,3.000000000000000000e+00
